iter	Passed	Remaining
0	0	916
1	1	854
2	2	859
3	3	802
4	3	786
5	4	802
6	5	805
7	6	816
8	7	817
9	7	778
10	8	784
11	9	801
12	10	805
13	11	808
14	12	811
15	12	784
16	13	784
17	14	786
18	15	783
19	15	782
20	16	781
21	17	765
22	17	763
23	18	763
24	19	757
25	19	747
26	20	746
27	21	745
28	22	744
29	22	738
30	23	737
31	24	736
32	25	735
33	25	736
34	26	728
35	27	728
36	27	719
37	28	719
38	29	719
39	29	709
40	30	704
41	30	704
42	31	704
43	32	703
44	32	696
45	33	696
46	34	697
47	34	691
48	35	691
49	36	685
50	36	686
51	37	686
52	38	687
53	39	691
54	40	692
55	41	692
56	41	691
57	42	686
58	43	686
59	43	685
60	44	686
61	45	686
62	46	687
63	46	686
64	47	686
65	48	687
66	49	686
67	49	683
68	50	683
69	51	686
70	52	688
71	53	688
72	53	683
73	54	683
74	55	683
75	56	683
76	56	680
77	57	680
78	58	680
79	58	676
80	59	676
81	60	675
82	61	674
83	61	674
84	62	669
85	62	668
86	63	665
87	64	664
88	64	664
89	65	665
90	66	664
91	67	663
92	67	661
93	68	657
94	68	657
95	69	656
96	70	656
97	71	655
98	72	655
99	72	654
100	73	654
101	74	653
102	74	652
103	75	652
104	76	651
105	77	651
106	77	650
107	78	651
108	79	651
109	80	650
110	81	649
111	81	647
112	82	646
113	83	645
114	83	645
115	84	644
116	85	644
117	85	642
118	86	641
119	87	640
120	88	639
121	88	639
122	89	639
123	90	638
124	90	636
125	91	635
126	92	635
127	92	632
128	93	632
129	94	631
130	94	628
131	95	628
132	96	627
133	97	626
134	97	626
135	98	625
136	99	625
137	99	624
138	100	623
139	101	620
140	101	620
141	102	619
142	103	618
143	103	618
144	104	618
145	105	616
146	106	617
147	107	617
148	108	617
149	108	617
150	109	616
151	110	615
152	111	615
153	111	614
154	112	613
155	113	613
156	114	613
157	115	613
158	115	613
159	116	613
160	117	613
161	118	612
162	119	613
163	120	612
164	121	612
165	121	612
166	122	611
167	123	611
168	124	610
169	124	610
170	125	609
171	126	609
172	127	609
173	128	608
174	129	608
175	129	608
176	130	607
177	131	607
178	132	607
179	133	608
180	134	608
181	135	608
182	136	608
183	137	607
184	137	607
185	138	607
186	139	607
187	140	607
188	141	606
189	142	605
190	142	605
191	143	605
192	144	605
193	145	604
194	146	604
195	147	603
196	148	603
197	149	603
198	149	602
199	150	601
200	151	601
201	151	599
202	152	599
203	153	598
204	154	598
205	155	597
206	155	597
207	156	596
208	157	596
209	158	595
210	159	594
211	159	594
212	160	593
213	161	593
214	162	592
215	163	592
216	163	591
217	164	590
218	165	589
219	166	588
220	166	588
221	167	587
222	168	586
223	169	585
224	169	585
225	170	584
226	171	584
227	172	584
228	173	582
229	173	582
230	174	581
231	175	581
232	176	579
233	176	578
234	177	578
235	178	577
236	179	577
237	180	576
238	180	574
239	181	574
240	182	573
241	183	573
242	183	571
243	184	571
244	185	570
245	185	570
246	186	568
247	187	568
248	188	567
249	189	567
250	189	566
251	190	565
252	191	564
253	191	563
254	192	563
255	193	562
256	194	561
257	195	561
258	195	560
259	196	559
260	197	558
261	197	557
262	198	556
263	199	556
264	200	555
265	201	555
266	202	554
267	202	554
268	203	554
269	204	553
270	205	553
271	206	552
272	207	552
273	208	551
274	209	551
275	209	549
276	210	549
277	211	548
278	211	547
279	212	545
280	213	545
281	213	543
282	214	543
283	215	542
284	215	541
285	216	541
286	217	540
287	218	540
288	218	538
289	219	537
290	220	536
291	220	535
292	221	535
293	222	534
294	223	533
295	224	533
296	224	532
297	225	531
298	226	531
299	227	530
300	228	530
301	228	528
302	229	528
303	230	527
304	231	527
305	232	527
306	233	526
307	233	525
308	234	524
309	235	524
310	236	522
311	236	522
312	237	521
313	238	520
314	239	519
315	239	519
316	240	518
317	241	517
318	242	516
319	242	516
320	243	515
321	244	514
322	245	513
323	245	512
324	246	512
325	247	511
326	248	510
327	248	509
328	249	508
329	250	507
330	250	507
331	251	506
332	252	505
333	253	504
334	253	503
335	254	503
336	255	502
337	256	501
338	256	500
339	257	499
340	258	499
341	259	498
342	260	498
343	261	497
344	261	497
345	262	496
346	263	495
347	264	495
348	265	494
349	265	493
350	266	493
351	267	492
352	268	491
353	268	490
354	269	490
355	270	489
356	271	488
357	272	488
358	273	487
359	273	487
360	274	486
361	275	485
362	276	485
363	277	484
364	277	483
365	278	482
366	279	481
367	280	481
368	281	480
369	281	480
370	282	479
371	283	479
372	284	478
373	285	477
374	286	477
375	287	476
376	287	475
377	288	474
378	289	474
379	290	473
380	291	473
381	291	471
382	292	470
383	293	470
384	294	469
385	294	468
386	295	467
387	296	466
388	296	466
389	297	465
390	298	464
391	298	463
392	299	462
393	300	462
394	301	461
395	302	461
396	303	460
397	304	459
398	304	459
399	305	458
400	306	457
401	307	457
402	308	456
403	309	455
404	309	455
405	310	454
406	311	454
407	312	453
408	313	452
409	314	451
410	314	450
411	315	450
412	316	449
413	316	448
414	317	448
415	318	447
416	319	446
417	320	445
418	320	445
419	321	444
420	322	443
421	323	443
422	324	442
423	325	442
424	326	441
425	327	440
426	327	439
427	328	439
428	329	438
429	330	437
430	330	436
